year,tons,depth,depthcatch,effort,effort.lcl,effort.ucl,type,mean,lcl,ucl,bycatch,bycatch.ucl
2016,5504,10,1871.36,18834897.4633866,227390149.800342,7782493.52423907,birds,9.48229209157453e-05,0,0.000746047174436275,1785.97999262688,5806.10730382716
2016,5504,20,990.72,10971549.6624763,Inf,4202284.68805602,birds,4.58427006527247e-05,0,0.000442042260926385,502.965466873406,1857.58742456461
2016,5504,30,715.52,7764647.70236536,42936169.2383511,2838031.39452817,birds,2.36454506758886e-05,0,0.000275173834446459,183.598594261932,780.95198111175
2016,5504,40,550.4,6371831.43290211,14855636.3510647,3362635.50190637,birds,6.1325571051615e-06,0,0.000113061525204087,39.0756201267353,380.184698550944
2016,5504,50,660.48,6040391.751899,23926220.9160496,3050931.10776972,birds,0,0,0,0,0
2017,4565,0,593.45,5015145.99069483,14478229.0155438,2219245.55524349,birds,0.00019054543990872,0,0.000914036356357709,955.613199003401,2028.4711211778
2017,4565,10,1552.1,15621603.7282631,188596663.124739,6454775.24312343,birds,9.48229209157453e-05,0,0.000746047174436275,1481.2860949022,4815.56683175345
2017,4565,20,821.7,9099768.20661419,Inf,3485361.48273542,birds,4.58427006527247e-05,0,0.000442042260926385,417.157949904996,1540.6770699741
2017,4565,30,593.45,6439973.9755265,35611121.4703984,2353854.16352128,birds,2.36454506758886e-05,0,0.000275173834446459,152.276086992318,647.719075903913
2017,4565,40,456.5,5284776.61540664,12321217.2860847,2788959.13266762,birds,6.1325571051615e-06,0,0.000113061525204087,32.4091943820033,315.323973271268
2017,4565,50,547.8,5009881.60381885,19844331.119507,2530432.50489985,birds,0,0,0,0,0
2018,4516,0,587.08,4961314.19364247,14322821.9571075,2195424.51861546,birds,0.00019054543990872,0,0.000914036356357709,945.355795552981,2006.69782765366
2018,4516,10,1535.44,15453923.8634909,186572295.875426,6385490.68958278,birds,9.48229209157453e-05,0,0.000746047174436275,1465.38620034575,4763.87728635237
2018,4516,20,812.88,9002092.70998241,Inf,3447950.15466225,birds,4.58427006527247e-05,0,0.000442042260926385,412.680241351799,1524.13968192838
2018,4516,30,587.08,6370848.29649018,35228877.2311761,2328588.25902784,birds,2.36454506758886e-05,0,0.000275173834446459,150.641579158228,640.766560083696
2018,4516,40,451.6,5228050.6451646,12188963.2560698,2759022.87910777,birds,6.1325571051615e-06,0,0.000113061525204087,32.0613191301483,311.939334784895
2018,4516,50,541.92,4956106.31387644,19631325.1556831,2503271.2359535,birds,0,0,0,0,0
2019,5044,0,655.72,5541379.27208428,15997412.301074,2452108.34187254,birds,0.00019054543990872,0,0.000914036356357709,1055.88455110036,2241.31617419952
2019,5044,10,1714.96,17260759.9573623,208385885.827203,7132067.10324525,birds,9.48229209157453e-05,0,0.000746047174436275,1636.71567638263,5320.85851026602
2019,5044,20,907.92,10054596.0206269,Inf,3851076.30206297,birds,4.58427006527247e-05,0,0.000442042260926385,460.929835557678,1702.33847556394
2019,5044,30,655.72,7115712.75631012,39347753.9313668,2600841.27071223,birds,2.36454506758886e-05,0,0.000275173834446459,168.254235003122,715.683465248486
2019,5044,40,504.4,5839301.91634416,13614067.9060266,3081601.2848139,birds,6.1325571051615e-06,0,0.000113061525204087,35.8098524562596,348.410541331933
2019,5044,50,605.28,5535562.49937838,21926573.0923972,2795947.76664071,birds,0,0,0,0,0
2020,5315,0,690.95,5839102.06802695,16856908.4814053,2583853.25873366,birds,0.00019054543990872,0,0.000914036356357709,1112.61427222411,2361.7358179759
2020,5315,10,1807.1,18188132.270694,219581876.124422,7515253.10343943,birds,9.48229209157453e-05,0,0.000746047174436275,1724.65182790913,5606.73334299443
2020,5315,20,956.7,10594801.3183252,Inf,4057983.85120235,birds,4.58427006527247e-05,0,0.000442042260926385,485.694305311074,1793.80035638825
2020,5315,30,690.95,7498020.08322527,41461798.601351,2740577.19148206,birds,2.36454506758886e-05,0,0.000275173834446459,177.294064044725,754.135134376626
2020,5315,40,531.5,6153031.26196852,14345513.6638642,3247167.09531838,birds,6.1325571051615e-06,0,0.000113061525204087,37.7338155838659,367.12966438922
2020,5315,50,637.8,5832972.77640683,23104626.4841576,2946166.21326236,birds,0,0,0,0,0
2021,7601,0,988.13,8350520.19173525,24107123.4933512,3695177.53897169,birds,0.00019054543990872,0,0.000914036356357709,1591.15354340084,3377.52661381653
2021,7601,10,2584.34,26010911.2680235,314024805.347456,10747589.6216826,birds,9.48229209157453e-05,0,0.000746047174436275,2466.43058211426,8018.20886925695
2021,7601,20,1368.18,15151662.2428203,Inf,5803336.83028958,birds,4.58427006527247e-05,0,0.000442042260926385,694.5931165888,2565.32013337856
2021,7601,30,988.13,10722944.6194911,59294662.4964946,3919308.98070651,birds,2.36454506758886e-05,0,0.000275173834446459,253.548858100462,1078.49128060146
2021,7601,40,760.1,8799471.42468913,20515569.0233362,4643784.96547789,birds,6.1325571051615e-06,0,0.000113061525204087,53.9632610071429,525.033410916737
2021,7601,50,912.12,8341754.670455,33042006.7556128,4213322.55635131,birds,0,0,0,0,0
